	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	.	.	.	.	.	.	.	.
								
_b_pdiv_aa	311.865***	232.786***	227.325***	251.522***	281.173***	264.464***	271.262***	219.955***
	(83.997)	(64.965)	(65.074)	(68.815)	(70.459)	(83.157)	(72.343)	(64.696)
_b_pdiv_aa_sqr	-218.579***	-160.645***	-156.930***	-174.234***	-195.010***	-183.405***	-188.845***	-153.875***
	(59.364)	(46.006)	(46.002)	(48.474)	(49.764)	(58.195)	(51.761)	(46.072)
_b_ln_yst_aa	-0.270	-0.082	0.048	0.366	0.417*	0.374	0.125	-0.037
	(0.271)	(0.202)	(0.189)	(0.242)	(0.231)	(0.240)	(0.233)	(0.210)
_b_ln_arable	-0.221***	-0.162***	-0.175***	-0.216***	-0.189***	-0.190***	-0.091	-0.089
	(0.061)	(0.049)	(0.048)	(0.047)	(0.049)	(0.049)	(0.056)	(0.056)
_b_ln_abslat	0.121	0.078	0.031	0.112	0.003	-0.003	0.001	-0.012
	(0.123)	(0.100)	(0.102)	(0.095)	(0.105)	(0.105)	(0.096)	(0.086)
_b_socinf		2.375***	2.407***	2.109***	1.867***	1.812***	1.515***	0.908**
		(0.269)	(0.254)	(0.371)	(0.404)	(0.419)	(0.420)	(0.420)
_b_efrac			-0.701**	-0.522*	-0.351	-0.365	0.027	-0.134
			(0.275)	(0.316)	(0.276)	(0.289)	(0.274)	(0.262)
_b_malfal					-0.504	-0.483	-0.723*	-0.715**
					(0.344)	(0.369)	(0.383)	(0.349)
_b_kgatr					-0.314	-0.291	-0.410**	-0.192
					(0.199)	(0.204)	(0.208)	(0.197)
_b_distcr					-0.373**	-0.372**	-0.189	-0.067
					(0.184)	(0.186)	(0.215)	(0.189)
_b_peuro						0.211		
						(0.618)		
_b_school								0.134***
								(0.043)
_eq2_opt	0.713***	0.725***	0.724***	0.722***	0.721***	0.721***	0.718***	0.715***
	(0.013)	(0.044)	(0.028)	(0.013)	(0.016)	(0.055)	(0.099)	(0.032)
								
Observations	109	109	109	109	109	109	94	94
R-squared	0.739	0.843	0.854	0.872	0.899	0.899	0.915	0.930
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
