	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	.	.	.	.	.	.	.	.
								
_b_pdiv_aa	281.173***	264.464***	266.494***	244.273**	266.198***	266.611***	285.466***	268.295**
	(70.459)	(83.157)	(84.381)	(114.359)	(72.371)	(90.847)	(79.049)	(109.024)
_b_pdiv_aa_sqr	-195.010***	-183.405***	-185.223***	-169.653**	-185.113***	-185.403***	-198.234***	-186.270**
	(49.764)	(58.195)	(59.302)	(79.762)	(50.915)	(63.534)	(55.641)	(75.954)
_b_ln_yst_aa	0.417*	0.374	0.415	0.368	0.376	0.377	0.505*	0.463
	(0.231)	(0.240)	(0.283)	(0.305)	(0.231)	(0.248)	(0.276)	(0.307)
_b_ln_arable	-0.189***	-0.190***	-0.238***	-0.237***	-0.205***	-0.205***	-0.204***	-0.205***
	(0.049)	(0.049)	(0.060)	(0.060)	(0.053)	(0.054)	(0.054)	(0.055)
_b_ln_abslat	0.003	-0.003	-0.021	-0.026	-0.029	-0.028	0.011	0.003
	(0.105)	(0.105)	(0.119)	(0.122)	(0.109)	(0.111)	(0.110)	(0.111)
_b_socinf	1.867***	1.812***	1.373**	1.357**	1.485***	1.485***	1.836***	1.776***
	(0.404)	(0.419)	(0.575)	(0.604)	(0.501)	(0.509)	(0.450)	(0.529)
_b_efrac	-0.351	-0.365	-0.450	-0.473	-0.404	-0.404	-0.406	-0.415
	(0.276)	(0.289)	(0.375)	(0.400)	(0.297)	(0.302)	(0.356)	(0.363)
_b_malfal	-0.504	-0.483	-0.593	-0.556	-0.585	-0.586	-0.513	-0.495
	(0.344)	(0.369)	(0.376)	(0.437)	(0.363)	(0.403)	(0.374)	(0.401)
_b_kgatr	-0.314	-0.291	-0.199	-0.163	-0.300	-0.301	-0.271	-0.248
	(0.199)	(0.204)	(0.239)	(0.254)	(0.215)	(0.223)	(0.227)	(0.239)
_b_distcr	-0.373**	-0.372**	-0.389*	-0.376	-0.450**	-0.450**	-0.320	-0.321
	(0.184)	(0.186)	(0.222)	(0.229)	(0.208)	(0.212)	(0.204)	(0.207)
_b_peuro		0.211		0.270		-0.006		0.187
		(0.618)		(0.914)		(0.710)		(0.810)
_eq2_opt	0.721***	0.721***	0.719***	0.720***	0.719***	0.719***	0.720***	0.720***
	(0.016)	(0.055)	(0.069)	(0.108)	(0.014)	(0.019)	(0.016)	(0.031)
								
Observations	109	109	83	83	105	105	88	88
R-squared	0.899	0.899	0.817	0.817	0.893	0.893	0.848	0.849
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
