"","wbcode","industry","industry_description","init_year","final_year","skill_2_1","skill1_corr","diffa","diffg","tskilla","tnoskilla","tskillg","tnoskillg","avg_tar","init_tar","prod_growth","growth","inv","init","human_cap","dum80_83","dum85_87","lat_america","e_europe","w_africa","e_africa","s_c_africa","n_afr_me","e_asia","s_e_asia","s_w_asia","ln_init_q","ln_init_q_skilla","ln_init_q_unskilla","ln_init_q_skillg","ln_init_q_unskillg","voice2000","political_stability2000","govt_effectiveness2000","reg_quality2000","rule_of_law2000","control_corrup2000","growth_human_cap","patent_growth","diff_growth_q_a","diff_growth_q_g","fin_diffa","fin_diffg","percent_firms_connected","ln_viol_per_car","gatt_year","wto_year"
"1","ARG","249","Professional equip",1987,2000,0.796999990940094,-0.450095951557159,-0.271852254867554,-0.405460476875305,-1.40625596046448,-1.13440370559692,-1.61306822299957,-1.20760774612427,-1.32241320610046,-1.32802546024323,0.0288448054343462,0.0135644767433405,2.74252867698669,9.12989902496338,-1.42702901363373,0,1,1,0,0,0,0,0,0,0,0,19.22096824646,24.1992626190186,24.3467025756836,23.6140995025635,24.6704216003418,0.443101704120636,0.461912631988525,0.300145447254181,0.444653809070587,0.178596362471581,-0.363223016262054,0.0520698688924313,0.179712176322937,0.0366267338395119,0.0470938570797443,0.248440980911255,0.752458333969116,0,1.8023396730423,1967,1995
"2","ARG","245","Textiles/clothing",1987,2000,0.131999999284744,-0.450095951557159,-0.271852254867554,-0.405460476875305,-1.40625596046448,-1.13440370559692,-1.61306822299957,-1.20760774612427,-1.32241320610046,-1.00239336490631,-0.0366874411702156,0.0135644767433405,2.74252867698669,9.12989902496338,-1.42702901363373,0,1,1,0,0,0,0,0,0,0,0,22.4579639434814,24.1992626190186,24.3467025756836,23.6140995025635,24.6704216003418,0.443101704120636,0.461912631988525,0.300145447254181,0.444653809070587,0.178596362471581,-0.363223016262054,0.0520698688924313,0.179712176322937,0.0366267338395119,0.0470938570797443,0.248440980911255,0.752458333969116,0,1.8023396730423,1967,1995
"3","ARG","231","Non-elec machinery",1987,2000,0.414000004529953,-0.450095951557159,-0.271852254867554,-0.405460476875305,-1.40625596046448,-1.13440370559692,-1.61306822299957,-1.20760774612427,-1.32241320610046,-1.4188175201416,0.0561126805841923,0.0135644767433405,2.74252867698669,9.12989902496338,-1.42702901363373,0,1,1,0,0,0,0,0,0,0,0,21.3805351257324,24.1992626190186,24.3467025756836,23.6140995025635,24.6704216003418,0.443101704120636,0.461912631988525,0.300145447254181,0.444653809070587,0.178596362471581,-0.363223016262054,0.0520698688924313,0.179712176322937,0.0366267338395119,0.0470938570797443,0.248440980911255,0.752458333969116,0,1.8023396730423,1967,1995
"4","ARG","244","Paper prod",1987,2000,0.397000014781952,-0.450095951557159,-0.271852254867554,-0.405460476875305,-1.40625596046448,-1.13440370559692,-1.61306822299957,-1.20760774612427,-1.32241320610046,-1.23443198204041,0.0135377096012235,0.0135644767433405,2.74252867698669,9.12989902496338,-1.42702901363373,0,1,1,0,0,0,0,0,0,0,0,21.2410984039307,24.1992626190186,24.3467025756836,23.6140995025635,24.6704216003418,0.443101704120636,0.461912631988525,0.300145447254181,0.444653809070587,0.178596362471581,-0.363223016262054,0.0520698688924313,0.179712176322937,0.0366267338395119,0.0470938570797443,0.248440980911255,0.752458333969116,0,1.8023396730423,1967,1995
"5","ARG","140","Mineral fuels",1987,2000,0.592999994754791,-0.450095951557159,-0.271852254867554,-0.405460476875305,-1.40625596046448,-1.13440370559692,-1.61306822299957,-1.20760774612427,-1.32241320610046,-1.50058352947235,-0.0406866483390331,0.0135644767433405,2.74252867698669,9.12989902496338,-1.42702901363373,0,1,1,0,0,0,0,0,0,0,0,22.8409729003906,24.1992626190186,24.3467025756836,23.6140995025635,24.6704216003418,0.443101704120636,0.461912631988525,0.300145447254181,0.444653809070587,0.178596362471581,-0.363223016262054,0.0520698688924313,0.179712176322937,0.0366267338395119,0.0470938570797443,0.248440980911255,0.752458333969116,0,1.8023396730423,1967,1995
"6","ARG","241","Leather prod",1987,2000,0.0790000036358833,-0.450095951557159,-0.271852254867554,-0.405460476875305,-1.40625596046448,-1.13440370559692,-1.61306822299957,-1.20760774612427,-1.32241320610046,-1.55589711666107,0.0335821323096752,0.0135644767433405,2.74252867698669,9.12989902496338,-1.42702901363373,0,1,1,0,0,0,0,0,0,0,0,20.5860443115234,24.1992626190186,24.3467025756836,23.6140995025635,24.6704216003418,0.443101704120636,0.461912631988525,0.300145447254181,0.444653809070587,0.178596362471581,-0.363223016262054,0.0520698688924313,0.179712176322937,0.0366267338395119,0.0470938570797443,0.248440980911255,0.752458333969116,0,1.8023396730423,1967,1995
"7","ARG","220","Iron/steel",1987,2000,0.266000002622604,-0.450095951557159,-0.271852254867554,-0.405460476875305,-1.40625596046448,-1.13440370559692,-1.61306822299957,-1.20760774612427,-1.32241320610046,-1.231001496315,0.00927924644201994,0.0135644767433405,2.74252867698669,9.12989902496338,-1.42702901363373,0,1,1,0,0,0,0,0,0,0,0,21.7807064056396,24.1992626190186,24.3467025756836,23.6140995025635,24.6704216003418,0.443101704120636,0.461912631988525,0.300145447254181,0.444653809070587,0.178596362471581,-0.363223016262054,0.0520698688924313,0.179712176322937,0.0366267338395119,0.0470938570797443,0.248440980911255,0.752458333969116,0,1.8023396730423,1967,1995
"8","ARG","211212","Medicaments",1987,2000,0.717999994754791,-0.450095951557159,-0.271852254867554,-0.405460476875305,-1.40625596046448,-1.13440370559692,-1.61306822299957,-1.20760774612427,-1.32241320610046,-1.94067251682281,0.040785551071167,0.0135644767433405,2.74252867698669,9.12989902496338,-1.42702901363373,0,1,1,0,0,0,0,0,0,0,0,22.0661888122559,24.1992626190186,24.3467025756836,23.6140995025635,24.6704216003418,0.443101704120636,0.461912631988525,0.300145447254181,0.444653809070587,0.178596362471581,-0.363223016262054,0.0520698688924313,0.179712176322937,0.0366267338395119,0.0470938570797443,0.248440980911255,0.752458333969116,0,1.8023396730423,1967,1995
"9","ARG","213","Manuf fertilizers",1987,2000,0.731000006198883,-0.450095951557159,-0.271852254867554,-0.405460476875305,-1.40625596046448,-1.13440370559692,-1.61306822299957,-1.20760774612427,-1.32241320610046,-2.88240361213684,0.00324127660132945,0.0135644767433405,2.74252867698669,9.12989902496338,-1.42702901363373,0,1,1,0,0,0,0,0,0,0,0,21.9268188476562,24.1992626190186,24.3467025756836,23.6140995025635,24.6704216003418,0.443101704120636,0.461912631988525,0.300145447254181,0.444653809070587,0.178596362471581,-0.363223016262054,0.0520698688924313,0.179712176322937,0.0366267338395119,0.0470938570797443,0.248440980911255,0.752458333969116,0,1.8023396730423,1967,1995
"10","ARG","150","Non-ferr metals",1987,2000,0.184000000357628,-0.450095951557159,-0.271852254867554,-0.405460476875305,-1.40625596046448,-1.13440370559692,-1.61306822299957,-1.20760774612427,-1.32241320610046,-1.36649167537689,0.0160171389579773,0.0135644767433405,2.74252867698669,9.12989902496338,-1.42702901363373,0,1,1,0,0,0,0,0,0,0,0,20.3886108398438,24.1992626190186,24.3467025756836,23.6140995025635,24.6704216003418,0.443101704120636,0.461912631988525,0.300145447254181,0.444653809070587,0.178596362471581,-0.363223016262054,0.0520698688924313,0.179712176322937,0.0366267338395119,0.0470938570797443,0.248440980911255,0.752458333969116,0,1.8023396730423,1967,1995
